Datum;Temperature
2019-12-30;6.0
2019-12-31;6.2
2020-01-01;4.4
2020-01-02;3.0
2020-01-03;5.2
2020-01-04;4.0
2020-01-05;2.5
2020-01-06;5.9
2020-01-07;5.6
2020-01-08;6.8
2020-01-09;5.0
2020-01-10;5.6
2020-01-11;3.7
2020-01-12;6.1
2020-01-13;5.6
2020-01-14;5.9
2020-01-15;8.4
2020-01-16;6.7
2020-01-17;6.2
2020-01-18;6.2
2020-01-19;5.0
2020-01-20;4.7
2020-01-21;6.8
2020-01-22;5.4
2020-01-23;2.9
2020-01-24;6.4
2020-01-25;5.9
2020-01-26;5.5
2020-01-27;4.9
2020-01-28;5.4
2020-01-29;4.4
2020-01-30;5.3
2020-01-31;6.3
2020-02-01;7.7
2020-02-02;5.8
2020-02-03;3.2
2020-02-04;3.9
2020-02-05;2.5
2020-02-06;7.0
2020-02-07;4.3
2020-02-08;5.0
2020-02-09;6.6
2020-02-10;6.4
2020-02-11;4.5
2020-02-12;5.2
2020-02-13;4.5
2020-02-14;3.0
2020-02-15;5.1
2020-02-16;7.8
2020-02-17;6.8
2020-02-18;6.2
2020-02-19;5.3
2020-02-20;3.3
2020-02-21;5.9
2020-02-22;6.3
2020-02-23;5.3
2020-02-24;4.3
2020-02-25;4.6
2020-02-26;1.5
2020-02-27;-0.4
2020-02-28;0.4
2020-02-29;4.0
2020-03-01;5.9
2020-03-02;5.0
2020-03-03;4.3
2020-03-04;4.6
2020-03-05;4.7
2020-03-06;4.9
2020-03-07;4.7
2020-03-08;4.9
2020-03-09;5.5
2020-03-10;4.9
2020-03-11;7.3
2020-03-12;6.5
2020-03-13;4.5
2020-03-14;1.5
2020-03-15;5.4
2020-03-16;7.0
2020-03-17;6.3
2020-03-18;7.5
2020-03-19;7.1
2020-03-20;6.1
2020-03-21;2.6
2020-03-22;1.7
2020-03-23;1.6
2020-03-24;4.3
2020-03-25;5.2
2020-03-26;3.8
2020-03-27;6.6
2020-03-28;5.5
2020-03-29;3.1
2020-03-30;1.9
2020-03-31;2.1
2020-04-01;6.0
2020-04-02;6.6
2020-04-03;5.7
2020-04-04;5.4
2020-04-05;7.6
2020-04-06;9.0
2020-04-07;10.4
2020-04-08;7.4
2020-04-09;10.2
2020-04-10;6.2
2020-04-11;6.5
2020-04-12;9.3
2020-04-13;6.0
2020-04-14;5.5
2020-04-15;9.3
2020-04-16;11.6
2020-04-17;9.1
2020-04-18;6.1
2020-04-19;7.3
2020-04-20;8.2
2020-04-21;10.7
2020-04-22;9.4
2020-04-23;11.0
2020-04-24;10.7
2020-04-25;9.3
2020-04-26;8.9
2020-04-27;8.2
2020-04-28;8.8
2020-04-29;5.8
2020-04-30;7.0
2020-05-01;9.3
2020-05-02;9.0
2020-05-03;10.8
2020-05-04;9.8
2020-05-05;7.4
2020-05-06;10.7
2020-05-07;10.5
